1, "A basic healing item that replenishes a small amount of health.", "None", "Healing Herb", "Player", "Starting Equipment"
2, "A throwable projectile used to distract enemies.", "None", "Throwing Knife", "Player", "Starting Equipment"
3, "A precious gem that can be sold for a high price.", "None", "Amber Gem", "Player", "Loot"
4, "A consumable item that temporarily boosts the player's strength.", "None", "Strength Tonic", "Player", "Reward"
5, "A rare flower with powerful healing properties.", "None", "Moon Lotus", "Player", "Quest Reward"
6, "A mysterious key that opens ancient doors.", "None", "Elden Key", "Player", "Treasure"
7, "A magical potion that grants temporary invisibility.", "Magic Level 3", "Ethereal Elixir", "Player", "Vendor Purchase"
8, "A legendary sword forged by ancient craftsmen.", "Strength Level 5", "Dragon's Bane", "Player", "Boss Drop"
9, "A piece of armor imbued with protective enchantments.", "Defense Level 4", "Guardian Plate", "Player", "Crafting"
10, "A powerful spell scroll capable of unleashing devastation.", "Intelligence Level 6", "Arcane Fury", "Player", "Dungeon Loot"
11, "A mystical potion that grants temporary invincibility.", "Magic Level 5", "Potion of Invincibility", "Player", "Secret Area Reward"
12, "A rare crafting material used to enhance weapons.", "None", "Starfall Shard", "Enemy", "Drop"
13, "An ancient relic that bestows wisdom upon the wielder.", "Wisdom Level 3", "Sage's Talisman", "NPC", "Gift"
14, "A cursed talisman that drains the life force of its wearer.", "None", "Talisman of the Damned", "Boss", "Boss Drop"
15, "A mysterious scroll containing forbidden knowledge.", "Intelligence Level 4", "Scroll of Eldritch Secrets", "Player", "Quest Reward"
16, "A vial of venom harvested from deadly serpents.", "Dexterity Level 2", "Venom Extract", "Enemy", "Loot"
17, "A powerful relic imbued with divine blessings.", "Faith Level 5", "Divine Relic", "NPC", "Trade"
18, "A legendary artifact forged in the fires of the abyss.", "Strength Level 6", "Abyssal Blade", "Boss", "Treasure"
19, "A rare mushroom with potent magical properties.", "Magic Level 3", "Glowcap Fungus", "Enemy", "Harvest"
20, "A tome containing ancient martial techniques.", "Dexterity Level 4", "Way of the Warrior", "NPC", "Reward"
21, "A rare gemstone infused with elemental power.", "Elemental Affinity Level 3", "Elemental Core", "Enemy", "Drop"
22, "A mysterious artifact that enhances magical abilities.", "Intelligence Level 4", "Arcane Amulet", "Boss", "Boss Drop"
23, "A potent elixir that boosts physical strength.", "Strength Level 2", "Elixir of Might", "Player", "Crafted"
24, "A cursed blade that hungers for blood.", "Bloodlust Level 5", "Blade of Sanguine Wrath", "Boss", "Treasure"
25, "A relic infused with the essence of the ancient gods.", "Divine Favor Level 5", "Godstone Pendant", "NPC", "Reward"
26, "A rare herb with healing properties.", "Health Level 3", "Golden Lotus", "Enemy", "Harvest"
27, "A set of enchanted armor forged by legendary blacksmiths.", "Defense Level 6", "Armor of the Titans", "Boss", "Legendary Drop"
28, "A mystical rune that grants protection against dark forces.", "Faith Level 3", "Rune of Warding", "Player", "Quest Reward"
29, "A cursed artifact that corrupts the mind of its bearer.", "Corruption Level 4", "Corrupted Idol", "Enemy", "Loot"
30, "An ancient scroll containing forbidden spells.", "Arcane Knowledge Level 5", "Scroll of Forbidden Magic", "NPC", "Trade"
31, "A relic from a forgotten civilization, radiating with ancient power.", "Mystic Knowledge Level 4", "Ancient Relic", "Enemy", "Drop"
32, "A potion brewed from rare herbs, known for its healing properties.", "Herbalism Level 3", "Elixir of Vitality", "Player", "Crafted"
33, "A cursed amulet that saps the life force of its wearer.", "Vampiric Aura Level 5", "Amulet of the Damned", "Boss", "Treasure"
34, "A legendary weapon said to have been wielded by a mythical hero.", "Legendary Weapon Proficiency Level 7", "Excalibur", "Boss", "Legendary Drop"
35, "A mysterious artifact that bends the fabric of reality.", "Reality Manipulation Level 6", "Chrono Crystal", "NPC", "Reward"
36, "A rare flower that blooms only under the light of a full moon.", "Moonlight Harvesting Level 4", "Moonbloom", "Enemy", "Harvest"
37, "An enchanted cloak that grants invisibility to its wearer.", "Stealth Mastery Level 5", "Cloak of Shadows", "Boss", "Boss Drop"
38, "A magical ring that enhances the wearer's elemental affinity.", "Elemental Mastery Level 4", "Ring of Elements", "Player", "Quest Reward"
39, "A dark artifact that feeds on the souls of the innocent.", "Soul Consumption Level 6", "Soulrender", "Enemy", "Loot"
40, "A forbidden tome containing dark rituals and incantations.", "Dark Magic Knowledge Level 5", "Tome of Shadows", "NPC", "Trade"
41, "A vial of potent poison, lethal to the touch.", "Poisoncraft Level 4", "Venomous Vial", "Player", "Crafted"
42, "An ancient relic imbued with the power of the elements.", "Elemental Attunement Level 6", "Elemental Totem", "Boss", "Treasure"
43, "A legendary artifact said to grant immortality to its bearer.", "Immortality Level 10", "Eternal Heart", "Boss", "Legendary Drop"
44, "A celestial orb that channels the energy of the cosmos.", "Celestial Harmony Level 7", "Stellar Sphere", "NPC", "Reward"
45, "A rare mushroom with hallucinogenic properties.", "Alchemy Level 3", "Dreamshroom", "Enemy", "Harvest"
46, "A set of enchanted gauntlets that increase the wearer's strength.", "Strength Enhancement Level 5", "Gauntlets of Power", "Boss", "Boss Drop"
47, "A mystical talisman that wards off evil spirits.", "Divine Protection Level 4", "Talisman of Light", "Player", "Quest Reward"
48, "A cursed dagger that consumes the souls of its victims.", "Soul Devourer Level 7", "Soulthief Dagger", "Enemy", "Loot"
49, "An ancient scroll containing lost knowledge of the gods.", "Divine Wisdom Level 6", "Scroll of Divine Secrets", "NPC", "Trade"
50, "A potion infused with the essence of dragons, granting immense power.", "Dragonblood Infusion Level 8", "Draconic Elixir", "Player", "Crafted"
51, "A relic from a fallen kingdom, said to hold the key to unlocking ancient secrets.", "Ancient Knowledge Level 5", "Lost Crown of Eldoria", "Boss", "Treasure"
52, "A legendary sword forged in the heart of a dying star.", "Stellar Blade Mastery Level 9", "Starfire Blade", "Boss", "Legendary Drop"
53, "A sacred artifact blessed by the gods themselves.", "Divine Blessing Level 8", "Sacred Talisman", "NPC", "Reward"
54, "A rare plant with healing properties, known to cure even the most deadly of poisons.", "Herbal Remedies Level 6", "Panacea Flower", "Enemy", "Harvest"
55, "A pair of enchanted boots that grant the wearer incredible speed.", "Speed Enhancement Level 6", "Boots of Swiftness", "Boss", "Boss Drop"
56, "A mystical artifact said to grant the bearer the power to control time itself.", "Time Manipulation Level 10", "Chrono Amulet", "Player", "Quest Reward"
57, "A cursed artifact that brings misfortune to all who possess it.", "Curse of Misfortune Level 7", "Amulet of Doom", "Enemy", "Loot"
58, "A grimoire containing forbidden spells that can reshape reality.", "Reality Warping Level 8", "Grimoire of Chaos", "NPC", "Trade"
59, "A potion brewed from rare herbs, known for its rejuvenating properties.", "Herbal Tonic Level 4", "Elixir of Renewal", "Player", "Crafted"
