1, 'Ground Dive', 'Health & Poise', 'The Giant Bats of Limgrave are nocturnal creatures and often rest during the day, unless they are disturbed.', 'Giant Bat', 'Confessor', 'Fire', 1,101
2, 'Swift Strikes', 'Dexterity & Speed', 'Agile and aggressive creatures found in the Murkwater Cave.', 'Murkwater Skeleton', 'Bandit', 'Blunt', 2,101
3, 'Charging Thrust', 'Strength & Defense', 'These spectral knights patrol the halls of Stormveil Castle.', 'Banished Knight', 'Veteran', 'Magic', 3, 101
4, 'Flame Breath', 'Intelligence & Faith', 'These magma wyrms guard the smoldering ruins of Mt. Gelmir.', 'Magma Wyrm', 'Draconic', 'Water', 4, 101
5, 'Poisonous Darts', 'Dexterity & Arcane', 'Lesser Erdtree Guardians utilize ranged attacks alongside melee strikes.', 'Lesser Erdtree Guardian', 'Sentinel', 'Fire', 5, 101
6, 'Grappling Slam', 'Strength & Endurance', 'These colossal trolls inhabit the caverns of the Sellia Crystal Tunnel.', 'Crystal Troll', 'Brute', 'Cold', 2, 101
7, 'Multi-Slam Combo', 'Strength & Poise', 'Mimic Teardrop Soldiers disguise themselves as chests, waiting for unsuspecting Tarnished.', 'Mimic Teardrop Soldier', 'Ambusher', 'Lightning', 3, 101
8, 'Piercing Shot', 'Dexterity & Perception', 'Skilled archers who hunt in the Weeping Peninsula.', 'Weeping Archer', 'Hunter', 'Poison', 3,101
9, 'Frost Blade', 'Strength & Agility', 'Wielders of icy magic residing in the Frostbite Keep.', 'Frostbite Warrior', 'Sorcerer', 'Fire', 5, 101
10, 'Shadow Strike', 'Dexterity & Stealth', 'Silent assassins found in the shadows of Caelid.', 'Caelid Assassin', 'Rogue', 'Holy', 2, 101
11, 'Thunder Clap', 'Strength & Magic', 'Guardians of the stormy peaks in the Altus Plateau.', 'Storm Guardian', 'Elementalist', 'Earth', 4, 101
12, 'Venom Spit', 'Dexterity & Vitality', 'Serpentine creatures lurking in the swamps of Liurnia.', 'Liurnia Serpent', 'Beast', 'Ice', 1, 101
13, 'Earthquake', 'Strength & Durability', 'Giant golems guarding ancient ruins in Siofra River.', 'Siofra Golem', 'Titan', 'Lightning', 1, 101
14, 'Arcane Blast', 'Intelligence & Wisdom', 'Wizards of Raya Lucaria Academy mastering arcane arts.', 'Raya Lucaria Wizard', 'Mage', 'Physical', 1, 101
15, 'Dark Slash', 'Strength & Speed', 'Dark knights of the Deeproot Depths.', 'Deeproot Knight', 'Warrior', 'Light', 2, 101
16, 'Holy Smite', 'Faith & Courage', 'Paladins defending the divine shrines of Altus.', 'Altus Paladin', 'Crusader', 'Dark', 2, 101
17, 'Wind Cutter', 'Dexterity & Agility', 'Fast and agile, these harpies patrol the skies of Farum Azula.', 'Farum Harpy', 'Skyborn', 'Earth', 3, 101
18, 'Fireball', 'Intelligence & Control', 'Pyromancers of the volcanoes in Mt. Gelmir.', 'Gelmir Pyromancer', 'Elementalist', 'Water', 4, 101
19, 'Rock Throw', 'Strength & Toughness', 'Strong and sturdy creatures inhabiting the crystal caves of Liurnia.', 'Liurnia Crystal Beast', 'Miner', 'Magic', 1, 101
20, 'Lightning Strike', 'Dexterity & Arcane', 'Quick and deadly, these assassins strike from the shadows in Nokron.', 'Nokron Assassin', 'Stalker', 'Physical', 1, 101
21, 'Ice Shard', 'Intelligence & Frost', 'Ice mages residing in the Frozen Tundra.', 'Frozen Tundra Mage', 'Cryomancer', 'Fire', 5, 101
22, 'Toxic Cloud', 'Intelligence & Poison', 'Noxious creatures lurking in the poisonous marshes of the Blightwood.', 'Blightwood Abomination', 'Plaguebearer', 'Holy', 4, 101
23, 'Spectral Touch', 'Magic & Ethereal', 'Ethereal beings haunting the spectral plains of the Voidrealm.', 'Voidrealm Specter', 'Wraith', 'Lightning', 3, 101
